lat_band,benchmark_lat_median,benchmark_lon_median,route_lat_median,route_lon_median,n_points,behavior,lon_error_deg,lon_error_km,squared_lon_error_km
"(-30, -20]",-24.5127375,1.60011999570311,-24.64549821422348,-14.935346195997385,9,behavior_052,-16.535466191700493,1674.8215380404597,2805027.184284211
"(-20, -10]",-14.62973805,-5.954104569439496,-14.692557581405735,-16.824498283026013,10,behavior_052,-10.870393713586518,1170.8588713294478,1370910.4965708684
"(-10, 0]",-3.46887202499999,-9.91567052953346,-5.140179446860763,-18.737103839858555,10,behavior_052,-8.821433310325096,980.202749710575,960797.430540172
"(0, 10]",5.03812620000001,-18.191934691485,4.8918705960494515,-20.170103522713493,10,behavior_052,-1.9781688312284942,219.3589698755312,48118.3576648542
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_052,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_052,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_052,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_052,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_052,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_053,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_053,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-55.08066101544612,-7.994319355931565,9,behavior_053,-13.888559841492985,848.8301636237884,720512.6466775874
"(-50, -40]",-45.6231879,11.03997350737515,-45.419731265547576,-10.984348088940116,9,behavior_053,-22.024321596315268,1714.6887667938279,2940157.5669689383
"(-40, -30]",-35.3528118,3.646997812277105,-35.04836290451982,-13.213807527658236,9,behavior_053,-16.86080533993534,1530.844871029824,2343486.019158318
"(-30, -20]",-24.5127375,1.60011999570311,-24.64549821422348,-14.935346195997385,9,behavior_053,-16.535466191700493,1674.8215380404597,2805027.184284211
"(-20, -10]",-14.62973805,-5.954104569439496,-14.692557581405735,-16.824498283026013,10,behavior_053,-10.870393713586518,1170.8588713294478,1370910.4965708684
"(-10, 0]",-3.46887202499999,-9.91567052953346,-5.140179446860763,-18.737103839858555,10,behavior_053,-8.821433310325096,980.202749710575,960797.430540172
"(0, 10]",5.03812620000001,-18.191934691485,4.8918705960494515,-20.170103522713493,10,behavior_053,-1.9781688312284942,219.3589698755312,48118.3576648542
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_053,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_053,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_053,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_053,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_053,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_054,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_054,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-55.08066101544612,-7.994319355931565,9,behavior_054,-13.888559841492985,848.8301636237884,720512.6466775874
"(-50, -40]",-45.6231879,11.03997350737515,-45.419731265547576,-10.984348088940116,9,behavior_054,-22.024321596315268,1714.6887667938279,2940157.5669689383
"(-40, -30]",-35.3528118,3.646997812277105,-35.04836290451982,-13.213807527658236,9,behavior_054,-16.86080533993534,1530.844871029824,2343486.019158318
"(-30, -20]",-24.5127375,1.60011999570311,-24.64549821422348,-14.935346195997385,9,behavior_054,-16.535466191700493,1674.8215380404597,2805027.184284211
"(-20, -10]",-14.62973805,-5.954104569439496,-14.692557581405735,-16.824498283026013,10,behavior_054,-10.870393713586518,1170.8588713294478,1370910.4965708684
"(-10, 0]",-3.46887202499999,-9.91567052953346,-5.140179446860763,-18.737103839858555,10,behavior_054,-8.821433310325096,980.202749710575,960797.430540172
"(0, 10]",5.03812620000001,-18.191934691485,4.8918705960494515,-20.170103522713493,10,behavior_054,-1.9781688312284942,219.3589698755312,48118.3576648542
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_054,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_054,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_054,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_054,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_054,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_055,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-67.38646875799228,-15.099003583483912,14,behavior_055,-14.84946452244563,668.3971037922628,446754.6883578849
"(-60, -50]",-56.700000225,5.89424048556142,-54.94686993909407,-15.662445232847684,12,behavior_055,-21.556685718409106,1317.484697792597,1735765.9289176506
"(-50, -40]",-45.6231879,11.03997350737515,-42.44012452352031,-0.4718966123999023,19,behavior_055,-11.511870119775052,896.2489170368016,803262.1212896396
"(-40, -30]",-35.3528118,3.646997812277105,-35.45632398896109,14.952534767226458,11,behavior_055,11.305536954949353,1026.4648047819003,1053629.9954559447
"(-30, -20]",-24.5127375,1.60011999570311,-24.984828069821933,11.814802858026042,10,behavior_055,10.214682862322931,1034.6107369296897,1070419.3769701954
"(-20, -10]",-14.62973805,-5.954104569439496,-14.652564197037751,7.544197328464962,10,behavior_055,13.498301897904458,1453.9129806578158,2113862.9553252943
"(-10, 0]",-3.46887202499999,-9.91567052953346,-6.979288376567183,-7.16000440072303,25,behavior_055,2.7556661288104296,306.19871190124485,93757.65116998155
"(0, 10]",5.03812620000001,-18.191934691485,4.025058657794046,-18.861058711832367,13,behavior_055,-0.6691240203473683,74.19910449767804,5505.507108257345
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_055,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_055,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_055,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_055,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_055,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_056,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_056,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-54.9157338170603,1.415498116476058,12,behavior_056,-4.478742369085362,273.72828150415694,74927.17209521898
"(-50, -40]",-45.6231879,11.03997350737515,-45.18784121614755,9.999544446003494,10,behavior_056,-1.0404290613716558,81.00190584205302,6561.308750044823
"(-40, -30]",-35.3528118,3.646997812277105,-35.45632398896109,14.952534767226458,11,behavior_056,11.305536954949353,1026.4648047819003,1053629.9954559447
"(-30, -20]",-24.5127375,1.60011999570311,-24.984828069821933,11.814802858026042,10,behavior_056,10.214682862322931,1034.6107369296897,1070419.3769701954
"(-20, -10]",-14.62973805,-5.954104569439496,-14.652564197037751,7.544197328464962,10,behavior_056,13.498301897904458,1453.9129806578158,2113862.9553252943
"(-10, 0]",-3.46887202499999,-9.91567052953346,-6.979288376567183,-7.16000440072303,25,behavior_056,2.7556661288104296,306.19871190124485,93757.65116998155
"(0, 10]",5.03812620000001,-18.191934691485,3.533457234700141,-19.71741831421356,13,behavior_056,-1.5254836227285615,169.16074642421583,28615.35813079785
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_056,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_056,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_056,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_056,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_056,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_057,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_057,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-54.9157338170603,1.415498116476058,12,behavior_057,-4.478742369085362,273.72828150415694,74927.17209521898
"(-50, -40]",-45.6231879,11.03997350737515,-45.18784121614755,9.999544446003494,10,behavior_057,-1.0404290613716558,81.00190584205302,6561.308750044823
"(-40, -30]",-35.3528118,3.646997812277105,-35.45632398896109,14.952534767226458,11,behavior_057,11.305536954949353,1026.4648047819003,1053629.9954559447
"(-30, -20]",-24.5127375,1.60011999570311,-24.984828069821933,11.814802858026042,10,behavior_057,10.214682862322931,1034.6107369296897,1070419.3769701954
"(-20, -10]",-14.62973805,-5.954104569439496,-14.652564197037751,7.544197328464962,10,behavior_057,13.498301897904458,1453.9129806578158,2113862.9553252943
"(-10, 0]",-3.46887202499999,-9.91567052953346,-6.979288376567183,-7.16000440072303,25,behavior_057,2.7556661288104296,306.19871190124485,93757.65116998155
"(0, 10]",5.03812620000001,-18.191934691485,3.533457234700141,-19.71741831421356,13,behavior_057,-1.5254836227285615,169.16074642421583,28615.35813079785
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_057,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_057,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_057,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_057,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_057,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_058,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_058,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-55.08066101544612,-7.994319355931565,9,behavior_058,-13.888559841492985,848.8301636237884,720512.6466775874
"(-50, -40]",-45.6231879,11.03997350737515,-45.419731265547576,-10.984348088940116,9,behavior_058,-22.024321596315268,1714.6887667938279,2940157.5669689383
"(-40, -30]",-35.3528118,3.646997812277105,-35.04836290451982,-13.213807527658236,9,behavior_058,-16.86080533993534,1530.844871029824,2343486.019158318
"(-30, -20]",-24.5127375,1.60011999570311,-24.64549821422348,-14.935346195997385,9,behavior_058,-16.535466191700493,1674.8215380404597,2805027.184284211
"(-20, -10]",-14.62973805,-5.954104569439496,-14.692557581405735,-16.824498283026013,10,behavior_058,-10.870393713586518,1170.8588713294478,1370910.4965708684
"(-10, 0]",-3.46887202499999,-9.91567052953346,-5.140179446860763,-18.737103839858555,10,behavior_058,-8.821433310325096,980.202749710575,960797.430540172
"(0, 10]",5.03812620000001,-18.191934691485,4.8918705960494515,-20.170103522713493,10,behavior_058,-1.9781688312284942,219.3589698755312,48118.3576648542
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_058,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_058,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_058,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_058,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_058,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_059,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_059,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-55.08066101544612,-7.994319355931565,9,behavior_059,-13.888559841492985,848.8301636237884,720512.6466775874
"(-50, -40]",-45.6231879,11.03997350737515,-45.419731265547576,-10.984348088940116,9,behavior_059,-22.024321596315268,1714.6887667938279,2940157.5669689383
